tsg;id_gene;gene_symbol;tissue_L1;tissue_L2;Z_L1;SNR_L1;SIGNAL_L1;NOISE_L1;ref_tissue_L1;REF_L1;SRR_L1;Z_L2;SNR_L2;SIGNAL_L2;NOISE_L2;ref_tissue_L2;REF_L2;SRR_L2
ACTC1_heart;70.0;ACTC1;heart;heart_muscles;4.2;1.6;8.855974;5.369433;breast;0.353412;25.1;;;;;;;
ACTC1_muscles;70.0;ACTC1;muscles;heart_muscles;;;;;;;;2.9;1.4;6.77985;4.903555;female_genital;0.812642;8.3
ACTN2_muscles;88.0;ACTN2;muscles;heart_muscles;4.4;1.3;8.767976;6.928865;breast;0.200869;43.7;3.6;2.5;7.76944;3.157159;female_genital;0.31745;24.5
ACTN3_embryonic_stem_cells;89.0;ACTN3;embryonic_stem_cells;totipotent_stem_cells;;;;;;;;2.6;1.4;2.497918;1.797468;female_genital;0.139552;17.9
ACTN3_muscles;89.0;ACTN3;muscles;heart_muscles;5.6;2.1;5.250474;2.497918;breast;0.128885;40.7;2.5;1.4;2.459724;1.797468;female_genital;0.139552;17.6
ACVR2B_embryonic_stem_cells;93.0;ACVR2B;embryonic_stem_cells;totipotent_stem_cells;5.0;2.4;3.598498;1.526806;breast;1.070727;3.4;3.8;2.5;3.598498;1.452373;female_genital;1.11519;3.2
ADAM8_blood;101.0;ADAM8;blood;hematopoietic;;;;;;;;3.2;1.5;6.176259;4.209486;female_genital;1.481155;4.2
ADCY1_brain;107.0;ADCY1;brain;neuro;4.4;1.8;3.136946;1.775801;breast;1.203732;2.6;2.8;1.4;2.512928;1.775801;female_genital;0.949188;2.6
ADCYAP1_gallbladder;116.0;ADCYAP1;gallbladder;hepato_bilary;4.3;1.9;2.398152;1.25306;breast;0.458137;5.2;;;;;;;
ADCYAP1R1_brain;117.0;ADCYAP1R1;brain;neuro;4.0;1.2;4.22899;3.442055;breast;1.545118;2.7;3.3;2.0;3.289737;1.650529;female_genital;1.650529;2.0
ADD2_embryonic_stem_cells;119.0;ADD2;embryonic_stem_cells;totipotent_stem_cells;4.1;1.2;4.164201;3.37537;breast;0.576987;7.2;3.5;1.6;4.164201;2.63076;female_genital;0.459445;9.1
ADH1A_biliary_tract;124.0;ADH1A;biliary_tract;hepato_bilary;4.5;2.6;8.38897;3.182999;breast;0.772181;10.9;;;;;;;
ADH1A_liver;124.0;ADH1A;liver;hepato_bilary;4.1;2.4;7.750532;3.182999;breast;0.772181;10.0;4.2;12.1;7.617225;0.632134;female_genital;0.51407;14.8
